date,counter,temp_high,temp_low,other
01-Feb-2018,11101,12,6,0
02-Feb-2018,11117,13,9,0
03-Feb-2018,11135,13,11,0
04-Feb-2018,11147,16,12,0
05-Feb-2018,11167,15,6,0
06-Feb-2018,11182,11,6,0
07-Feb-2018,11197,12,5,0
08-Feb-2018,11214,16,8,0.5
09-Feb-2018,11234,15,9,1
10-Feb-2018,11246,13,8,0
11-Feb-2018,11266,12,8,0
12-Feb-2018,11282,11,3,-1
13-Feb-2018,11310,8,5,1
14-Feb-2018,11340,11,6,1
15-Feb-2018,11360,12,6,0
16-Feb-2018,11385,12,6,1
17-Feb-2018,11410,9,7,0
18-Feb-2018,11436,9,5,0
19-Feb-2018,11451,11,6,0
20-Feb-2018,11475,11,8,0
21-Feb-2018,11497,10,7,0
22-Feb-2018,11524,11,8,0
23-Feb-2018,11547,14,8,0
24-Feb-2018,11551,10,7,-3
25-Feb-2018,11555,9,5,-3
26-Feb-2018,11583,7,4,0
27-Feb-2018,11619,10,2,1



